pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
J Shields,G Blanco,0,___,0-0,Gregor Blanco singled to center (Fliner (Liner)).,0.87,0.45,0.464,0.036,0.37,top,1,1,1,1
J Shields,J Panik,0,1__,0-0,Joe Panik flied out to center (Fly). Gregor Blanco advanced to 2B.,1.5,0.81,0.48,-0.016,-0.18,top,1,1,2,2
J Shields,B Posey,1,_2_,0-0,Buster Posey singled to left (Liner). Gregor Blanco advanced to 3B.,1.26,0.63,0.43,0.05,0.5,top,1,1,3,3
J Shields,P Sandoval,1,1_3,0-1,Pablo Sandoval doubled to right (Fliner (Liner)). Gregor Blanco scored. Buster Posey out at home.,1.96,1.13,0.406,0.024,0.17,top,1,1,4,4
J Shields,H Pence,2,_2_,0-3,Hunter Pence homered (Fliner (Fly)). Pablo Sandoval scored.,1.05,0.3,0.237,0.169,1.79,top,1,1,5,5
J Shields,B Belt,2,___,0-3,Brandon Belt singled to center (Liner).,0.23,0.09,0.23,0.007,0.12,top,1,1,6,6
J Shields,M Morse,2,1__,0-3,Michael Morse struck out swinging.,0.47,0.21,0.243,-0.013,-0.21,top,1,1,7,7
M Bumgarner,A Escobar,0,___,0-3,Alcides Escobar grounded out to shortstop (Grounder).,0.81,0.45,0.223,-0.02,-0.21,bottom,1,1,8,8
M Bumgarner,N Aoki,1,___,0-3,Nori Aoki lined out to pitcher (Liner).,0.55,0.23,0.21,-0.013,-0.14,bottom,1,1,9,9
M Bumgarner,L Cain,2,___,0-3,Lorenzo Cain was hit by a pitch.,0.33,0.09,0.221,0.011,0.12,bottom,1,1,10,10
M Bumgarner,E Hosmer,2,1__,0-3,Eric Hosmer flied out to center (Fliner (Fly)).,0.71,0.21,0.202,-0.019,-0.21,bottom,1,1,11,11
J Shields,T Ishikawa,0,___,0-3,Travis Ishikawa grounded out to first (Grounder).,0.49,0.45,0.214,-0.012,-0.21,top,2,1,12,12
J Shields,B Crawford,1,___,0-3,Brandon Crawford flied out to right (Fliner (Liner)).,0.35,0.23,0.222,-0.008,-0.14,top,2,1,13,13
J Shields,G Blanco,2,___,0-3,Gregor Blanco flied out to center (Fly).,0.23,0.09,0.228,-0.006,-0.09,top,2,1,14,14
M Bumgarner,B Butler,0,___,0-3,Billy Butler singled to center (Fliner (Liner)).,0.85,0.45,0.265,0.037,0.37,bottom,2,1,15,15
M Bumgarner,A Gordon,0,1__,0-3,Alex Gordon lined out to shortstop (Liner).,1.52,0.81,0.231,-0.034,-0.34,bottom,2,1,16,16
M Bumgarner,S Perez,1,1__,0-3,Salvador Perez grounded into a double play to pitcher (Grounder). Billy Butler out at second.,1.14,0.48,0.185,-0.046,-0.48,bottom,2,1,17,17
J Shields,J Panik,0,___,0-3,Joe Panik lined out to second (Liner).,0.47,0.45,0.197,-0.012,-0.21,top,3,1,18,18
J Shields,B Posey,1,___,0-3,Buster Posey lined out to third (Liner).,0.34,0.23,0.205,-0.008,-0.14,top,3,1,19,19
J Shields,P Sandoval,2,___,0-3,Pablo Sandoval flied out to center (Fly).,0.23,0.09,0.211,-0.006,-0.09,top,3,1,20,20
